Combo,Individual,Pheno,ID,Group_n,Group,Group_d,Treatment,Perc_viability,Width_flower,Width_stem,Decomposed,Predator
P3.32.2,P3.32,P3,32,2,Aug_1,Day 7,Outside,0.05,1.5,0.12,N,N
NA,P3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P3.34.2,P3.34,P3,34,2,Aug_1,Day 7,Inside,0,1.3,0.11,N,N
NA,P3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P3.37.3,P3.37,P3,37,3,Aug_7,Day 14,Outside,0.1,1.4,0.14,N,N
P3.38.1,P3.38,P3,38,1,July_25,Day 1,Outside,0.25,1.1,0.13,N,N
P3.39.2,P3.39,P3,39,2,Aug_1,Day 7,Outside,0.05,1.5,0.12,N,Y
NA,P3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
NA,P3.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P3.41.4,P3.41,P3,41,4,Aug_14,Day 21,Outside,0,1.1,0.1,N,Y
P3.42.2,P3.42,P3,42,2,Aug_1,Day 7,Inside,0.35,1.4,0.16,N,N
P3.43.4,P3.43,P3,43,4,Aug_14,Day 21,Outside,0.2,1.2,0.15,N,N
P3.44.1,P3.44,P3,44,1,July_25,Day 1,Outside,0.05,1.3,0.14,N,N
P3.45.3,P3.45,P3,45,3,Aug_7,Day 14,Inside,0.55,1.5,0.17,N,N
NA,P3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P3.47.3,P3.47,P3,47,3,Aug_7,Day 14,Outside,0.1,1.2,0.19,N,Y
P3.48.2,P3.48,P3,48,2,Aug_1,Day 7,Outside,0.2,1.6,0.13,N,Y
NA,P3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P3.50.1,P3.50,P3,50,1,July_25,Day 1,Outside,0.05,1.3,0.16,N,N
P3.51.1,P3.51,P3,51,1,July_25,Day 1,Outside,0,1.4,0.1,N,N
P3.52.3,P3.52,P3,52,3,Aug_7,Day 14,Inside,0.55,1.2,0.15,N,N
P3.53.4,P3.53,P3,53,4,Aug_14,Day 21,Inside,0.3,1.5,0.18,N,N
NA,P3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P3.56.2,P3.56,P3,56,2,Aug_1,Day 7,Inside,0.15,1.6,0.12,N,Y
P3.57.3,P3.57,P3,57,3,Aug_7,Day 14,Outside,0.15,1.2,0.19,N,N
NA,P3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
